id,parent,address,pname,cityname,type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat
B0FFKEMNI4,B02CD02D32,云海路与明珠东路交叉口西100米,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学电气工程系,"111.311810,30.726075",[],111.311810,30.726075
B0FFKEPEYU,B02CD02D32,云林路与大学路交叉口西南100米,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-高压大厅,"111.313584,30.727550",[],111.313584,30.727550
B02CD0QSGD,B02CD02D32,三峡大学内,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-少数民族预科生部,"111.317441,30.723997",[],111.317441,30.723997
B0FFHCDCY0,B02CD02D32,大学路8号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-机械与动力学院,"111.316725,30.722343",[],111.316725,30.722343
B0FFGAPBHA,B02CD02D32,窑湾街道大学路8号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学电气与新能源学院,"111.312479,30.727824",[],111.312479,30.727824
B02CD01456,B02CD02D32,大学路8号化学与,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学化学与生命科学学院,"111.316493,30.721647",[],111.316493,30.721647
B0FFH1KHF4,B02CD02D32,云深路与大学路交叉口北150米,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学城乡规划与建筑学系,"111.312774,30.720690",[],111.312774,30.720690
B0FFHCDCY1,B02CD02D32,大学路8号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-材料与化工学院,"111.316604,30.722352",[],111.316604,30.722352
B02CD0QQLD,B02CD02D32,大学路8号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学马克思主义学院,"111.317085,30.724087",[],111.317085,30.724087
B0FFFYZWY8,B02CD02D32,[],湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学大学生勤工助学中心,"111.309842,30.728007",[],111.309842,30.728007
B0FFI7XIPR,B02CD02D32,云海路与大成路交叉口西南200米,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学法学与公共管理学院,"111.317417,30.724180",[],111.317417,30.724180
B0FFKG2UVH,[],樵湖一路葛洲坝中心医院,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,[],西陵区,三峡大学第三临床医学院,"111.286646,30.718507",[],111.286646,30.718507
B0H0HSF1M7,[],大学路8号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,[],西陵区,三峡大学英语语言学习实验教学示范中心,"111.318611,30.723807",[],111.318611,30.723807
B02CD011B2,B02CD02D32,大学路8号,湖北省,宜昌市,政府机构及社会团体;公检法机构;社会治安机构|科教文化服务;学校;高等院校,130506|141201,2,309,西陵区,三峡大学保卫处,"111.313393,30.728170",0717-6392110;0717-6392200,111.313393,30.728170
B02CD0QSNJ,B02CD02D32,大成路与云海路交叉口西南约200米,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-政治学与基层政治文明研究中心,"111.317650,30.724184",[],111.317650,30.724184
B0FFKEJLZK,B02CD02D32,云海路,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学电气与新能源学院电工电子实验教学中心,"111.311307,30.726453",[],111.311307,30.726453
B0FFI7Y4VP,B02CD02D32,大学路,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学鄂西山地城镇建设与发展协同创新中心,"111.312783,30.720655",[],111.312783,30.720655
B02CD02D45,[],西陵街道绿萝路36号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,[],西陵区,三峡电力职业学院,"111.307931,30.70597",0717-6466621;0717-6445447,111.307931,30.70597
B0FFK3JSSL,B02CD02D32,云林路与大学路交叉口西100米,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学大学生安全管理委员会办公室,"111.313526,30.728244",[],111.313526,30.728244
B0FFF2SZT0,B02CD040RA,胜利三路湖北三峡职业技术学院,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡职业技术学院-计算机中心,"111.313225,30.691288",[],111.313225,30.691288
B02CD0QCXS,B02CD02D45,绿萝路36号三峡电力职业学院内,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡电力职业学院学术中心,"111.306494,30.706508",0717-6798833,111.306494,30.706508
B0FFF2RS7G,B02CD040RA,湖北三峡职业技术学院交通工程系,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,湖北三峡职业技术学院-人文社科系,"111.312840,30.691057",[],111.312840,30.691057
B0FFFFF5CE,B02CD040RA,湖北三峡职业技术学院交通工程系,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,湖北三峡职业技术学院-艺术体育系,"111.312840,30.691057",[],111.312840,30.691057
B02CD0R8TZ,B02CD02D45,窑湾乡绿萝路36号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡电力职业学院工业中心,"111.306476,30.707009",[],111.306476,30.707009
B0HK1DAQGU,[],绿萝路36号三峡电力职业学院内,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,[],西陵区,三峡电力职业学院学术中心-学术中心,"111.307065,30.706311",0717-6798833,111.307065,30.706311
B0H33RY5OD,[],体育场路31号湖北三峡职业技术学院,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,[],西陵区,湖北三峡职业技术学院-马克思主义学院,"111.313985,30.690749",[],111.313985,30.690749
B0FFHCKDDW,B02CD0QAM5,龙泉镇汉宜大道205号(三峡旅游职业技术学院内),湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,夷陵区,三峡旅游职业技术学院空乘实训中心,"111.425150,30.668461",[],111.425150,30.668461
B0FFKZI5AY,B02CD02D45,绿萝路36号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡电力职业学院机电与自动化学院,"111.306862,30.707858",[],111.306862,30.707858
B0FFHBPL7S,B02CD040RA,胜利三路西100米附近,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,湖北三峡职业技术学院后薄软件学院,"111.313829,30.690798",[],111.313829,30.690798
B02CD0RG1I,B02CD02D45,绿萝路36号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡电力职业学院-建筑工程学院,"111.306349,30.708808",[],111.306349,30.708808
B0FFHPZUTX,B02CD040RA,体育场路31号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,湖北三峡职业技术学院经管学院,"111.312254,30.693549",[],111.312254,30.693549
B02CD0QK9V,B02CD040RA,体育场路31号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,湖北三峡职业技术学院-信息工程系,"111.312230,30.693429",[],111.312230,30.693429
B02CE035MQ,[],清江东路10号,湖北省,恩施土家族苗族自治州,科教文化服务;学校;高等院校,141201,0,[],恩施市,三峡东升学院驻恩施土家族苗族自治州办事处,"109.484653,30.269815",[],109.484653,30.269815
B0GUBNMY3H,[],胜利三路湖北三峡职业技术学院,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,[],西陵区,旅游与教育学院,"111.313363,30.691409",[],111.313363,30.691409
B0FFH5KWHF,B001B0IFUO,古乐路与长安路交叉口东南100米,湖北省,武汉市,科教文化服务;学校;高等院校,141201,0,309,硚口区,湖北警官学院北校区学员三大队,"114.203097,30.603029",[],114.203097,30.603029
B0FFGFQV91,B001B0K7D1,解放大道86号,湖北省,武汉市,科教文化服务;学校;高等院校,141201,0,309,硚口区,湖北警官学院南校区学员三大队,"114.205617,30.590856",[],114.205617,30.590856
